assay_id,name,abbreviation,method,active,category,show_customer_portal,test_worksheet_id,test_worksheet_name,batch_worksheet_id,batch_worksheet_name,test_protocol_id,test_protocol_name,batch_protocol_id,batch_protocol_name,batch_control_group_id,batch_resource_group_id,default_report_ids,default_reports_capture_state,panel_memberships_capture_state,sample_type_count,specification_count,detail_url
14,Aspergillus spp.,MI-ASP |,MTH-MICRO-ASP-01,true,,true,81,Total Aspergillus Microbial Analysis [Test WS],80,Aspergillus Microbial Analysis [Batch WS],,,14,[Batch] Gene Up Aspergillus Microbial Analysis Protocol,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=14
2,Cannabinoid Potency,CP |,MTH-CP-01,true,,true,8,Cannabinoid Potency [Test] Worksheet,7,Cannabinoid Potency [Batch] Worksheet,,,4,[Batch] Cannabinoid Potency Protocol,,8,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=2
20,Enterobacteriaceae,MI-EB |,MTH-MICRO-EN-01,true,,true,95,Enterobacteriaceae [Test] WS,89,Total Aerobic Count & Enterobacteriaceae & YM [Batch WS],,,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=20
12,Foreign Material,FM |,MTH-FM-01,true,,true,31,Foreign Material [Test WS],,,10,[Test] Foreign Material Protocol,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=12
3,Heavy Metals,HM |,MTH-HM-01,true,,true,6,Heavy Metals [Test] Worksheet,5,Heavy Metals [Batch] Worksheet,,,2,[Batch] Heavy Metals Protocol,,5,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=3
11,Homogeneity,HOM |,,true,,true,73,Homogeneity [Test WS],7,Cannabinoid Potency [Batch] Worksheet,,,11,[Batch] Homogeneity Protocol,,8,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=11
17,Listeria Monocytogenes,MI-LIS |,MTH-MICRO-LIS-01,true,,true,87,Listeria Monocytogenes [Test] Worksheet,86,Listeria Monocytogenes [Batch] Worksheet,,,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=17
6,Microbial Analysis,MICRO |,MTH-MICRO-GU-01; MTH-MICRO-TE-01,true,,true,44,,45,,,,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=6
10,Moisture Analysis,MO |,,true,,true,,,,,,,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=10
5,Mycotoxins,MY |,MTH-PM-01; MTH-MY-01,true,,true,10,Mycotoxin (Qualitative) [Test] Worksheet,15,Pesticide_Myco (Qualitative) [Batch] Worksheet,,,7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,,9,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=5
4,Pesticides,PE |,MTH-PM-01; MTH-PE-01,true,,true,14,Pesticides (Qualitative) [Test] Worksheet,15,Pesticide_Myco (Qualitative) [Batch] Worksheet,,,7,[Batch] Qualitative Pesticides & Mycotoxin Protocol,,9,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=4
21,Pesticides Quantitative Flower,PEqf |,MTH-PM-02,true,,true,16,Pesticides (Quantitative) [Test] Worksheet,13,Pesticides (Quantitative) [Batch] Worksheet,,,12,[Batch] Quantitative Pesticide in Cannabis Flower Protocol,,12,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=21
7,Residual Solvents,RS |,MTH-RS-01,true,,true,12,Residual Solvents [Test] Worksheet,11,Residual Solvents [Batch] Worksheet,,,6,[Batch] Residual Solvents Protocol,,7,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=7
15,Salmonella Species,MI-SLM |,MTH-MICRO-SLM-01,true,,true,83,Salmonella Species [Test] Worksheet,82,Salmonella & STEC Microbial Analysis [Batch WS],,,13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=15
16,Shiga toxin-producing E. coli,MI-STEC |,MTH-MICRO-STCSLM-01,true,,true,84,STEC [Test] Worksheet,82,Salmonella & STEC Microbial Analysis [Batch WS],,,13,[Batch] Gene Up Salmonella & STEC Microbial Analysis,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,1,0,https://ait.qbench.net/assay?id=16
13,Stability,STAB |,,true,,true,,,,,,,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=13
8,Terpenes,TR |,,true,,true,42,Terpenes [Test] Worksheet,43,Terpenes [Batch] Worksheet,,,,,,,,not_reliably_exposed_deferred_to_phase_4,not_exposed_on_assay_detail_page; use panel-side evidence,0,0,https://ait.qbench.net/assay?id=8
