automation_id,automation_name,action_sequence,action_type,destination_field_or_named_cell,source_expression_or_value,selected_values_json,all_nonempty_control_values_json,capture_state
17,Terpenes Batch to Test ws,1,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_01,"=VLOOKUP({{test.get_display_id()}},B2:AY87,9,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_01"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,9,0)""]",visible_configuration
17,Terpenes Batch to Test ws,2,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_02,"=VLOOKUP({{test.get_display_id()}},B2:AY87,10,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_02"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,10,0)""]",visible_configuration
17,Terpenes Batch to Test ws,3,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_03,"=VLOOKUP({{test.get_display_id()}},B2:AY87,11,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_03"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,11,0)""]",visible_configuration
17,Terpenes Batch to Test ws,4,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_04,"=VLOOKUP({{test.get_display_id()}},B2:AY87,12,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_04"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,12,0)""]",visible_configuration
17,Terpenes Batch to Test ws,5,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_05,"=VLOOKUP({{test.get_display_id()}},B2:AY87,13,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_05"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,13,0)""]",visible_configuration
17,Terpenes Batch to Test ws,6,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_06,"=VLOOKUP({{test.get_display_id()}},B2:AY87,14,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_06"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,14,0)""]",visible_configuration
17,Terpenes Batch to Test ws,7,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_07,"=VLOOKUP({{test.get_display_id()}},B2:AY87,15,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_07"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,15,0)""]",visible_configuration
17,Terpenes Batch to Test ws,8,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_08,"=VLOOKUP({{test.get_display_id()}},B2:AY87,16,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_08"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,16,0)""]",visible_configuration
17,Terpenes Batch to Test ws,9,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_09,"=VLOOKUP({{test.get_display_id()}},B2:AY87,17,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_09"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,17,0)""]",visible_configuration
17,Terpenes Batch to Test ws,10,Set value on all Test Worksheets within the Batch,terpenes_instrument_conc_10,"=VLOOKUP({{test.get_display_id()}},B2:AY87,18,0)","[""Set value on all Test Worksheets within the Batch"",""Copy Value"",""From Worksheet""]","[""terpenes_instrument_conc_10"",""=VLOOKUP({{test.get_display_id()}},B2:AY87,18,0)""]",visible_configuration
