automation_id,automation_name,condition_sequence,field_type,field_name,before_conditional,before_value,after_conditional,after_value,selected_values_json,capture_state
17,Terpenes Batch to Test ws,1,Data Type,Worksheet,Anything,,Equal To,43 - Terpenes [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""43 - Terpenes [Batch] Worksheet""]",visible_configuration
16,Homogeneity - Pull potency mg/serving,1,Data Type,Assay,Anything,,Equal To,Homogeneity — HOM |,"[""Data Type"",""Assay"",""Anything"",""Equal To"",""Homogeneity — HOM |""]",visible_configuration
16,Homogeneity - Pull potency mg/serving,2,Data Type,Status,Not Equal To,Ready for Homogeneity Pull,Equal To,Ready for Homogeneity Pull,"[""Data Type"",""Status"",""Not Equal To"",""Ready for Homogeneity Pull"",""Equal To"",""Ready for Homogeneity Pull""]",visible_configuration
14,AC EB YM Batch to Test WS,1,Data Type,Worksheet,Anything,,Equal To,89 - Total Aerobic Count & Enterobacteriaceae & YM [Batch WS],"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""89 - Total Aerobic Count & Enterobacteriaceae & YM [Batch WS]""]",visible_configuration
13,Listeria Batch to Test WS,1,Data Type,Worksheet,Anything,,Equal To,86 - Listeria Monocytogenes [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""86 - Listeria Monocytogenes [Batch] Worksheet""]",visible_configuration
12,Salmonella Species & STEC Batch to Test WS,1,Data Type,Worksheet,Anything,,Equal To,82 - Salmonella & STEC Microbial Analysis [Batch WS],"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""82 - Salmonella & STEC Microbial Analysis [Batch WS]""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,1,Data Type,Assay,Anything,,Equal To,Cannabinoid Potency — CP | — MTH-CP-01,"[""Data Type"",""Assay"",""Anything"",""Equal To"",""Cannabinoid Potency — CP | — MTH-CP-01""]",visible_configuration
11,Cannabinoid Potency Batch to Test WS,2,Data Type,Worksheet,Anything,,Equal To,7 - Cannabinoid Potency [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""7 - Cannabinoid Potency [Batch] Worksheet""]",visible_configuration
10,Pesticide (Quantitative) Analysis,1,Data Type,Worksheet,Anything,,Equal To,13 - Pesticides (Quantitative) [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""13 - Pesticides (Quantitative) [Batch] Worksheet""]",visible_configuration
9,Aspergillus Batch WS to Test WS,1,Data Type,Worksheet,Anything,,Equal To,80 - Aspergillus Microbial Analysis [Batch WS],"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""80 - Aspergillus Microbial Analysis [Batch WS]""]",visible_configuration
8,Pest Myco (Qualitative) Batch WS to Test WS,1,Data Type,Worksheet,Anything,,Equal To,15 - Pesticide_Myco (Qualitative) [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""15 - Pesticide_Myco (Qualitative) [Batch] Worksheet""]",visible_configuration
6,Residual Solvents Batch WS to Test WS,1,Data Type,Worksheet,Anything,,Equal To,11 - Residual Solvents [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""11 - Residual Solvents [Batch] Worksheet""]",visible_configuration
4,Water Activity Batch WS to Test WS,1,Data Type,Worksheet,Anything,,Equal To,29 - Water Activity [Batch WS],"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""29 - Water Activity [Batch WS]""]",visible_configuration
3,Mycotoxin (Quantitative) Batch WS to Test WS,1,Data Type,Worksheet,Anything,,Equal To,9 - Mycotoxin (Quantitative) [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""9 - Mycotoxin (Quantitative) [Batch] Worksheet""]",visible_configuration
1,Heavy Metals Batch WS to Test WS,1,Data Type,Worksheet,Anything,,Equal To,5 - Heavy Metals [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""5 - Heavy Metals [Batch] Worksheet""]",visible_configuration
15,Water Activity Protocol WS to Batch WS,1,Data Type,Protocol Step,Anything,,Equal To,Water Activity Sample Measurements,"[""Data Type"",""Protocol Step"",""Anything"",""Equal To"",""Water Activity Sample Measurements""]",visible_configuration
5,test wa,1,Data Type,Protocol,Anything,,Equal To,[Batch] Water Activity Protocol,"[""Data Type"",""Protocol"",""Anything"",""Equal To"",""[Batch] Water Activity Protocol""]",visible_configuration
2,Heavy Metals Batch WS to Test WS 2,1,Data Type,Worksheet,Anything,,Equal To,5 - Heavy Metals [Batch] Worksheet,"[""Data Type"",""Worksheet"",""Anything"",""Equal To"",""5 - Heavy Metals [Batch] Worksheet""]",visible_configuration
