automation_id,name,description,active,trigger_type,data_type,condition_count,action_count,url,capture_timestamp_utc,retry_behavior,idempotency_behavior,scheduled_behavior,date_driven_behavior,last_modified,history_count,screenshots
17,Terpenes Batch to Test ws,,true,Data Modified,Batch,1,26,https://ait.qbench.net/automation?id=17,2026-08-17T00:17:41.781Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
16,Homogeneity - Pull potency mg/serving,"When a Homogeneity worksheet has manually entered Cannabinoid Potency Test IDs, pull the target cannabinoid mg/serving result into the Homogeneity worksheet.",true,Data Modified,Test,2,1,https://ait.qbench.net/automation?id=16,2026-08-17T00:18:07.854Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
14,AC EB YM Batch to Test WS,,true,Data Modified,Batch,1,3,https://ait.qbench.net/automation?id=14,2026-08-17T00:18:19.221Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
13,Listeria Batch to Test WS,,true,Data Modified,Batch,1,1,https://ait.qbench.net/automation?id=13,2026-08-17T00:18:37.520Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
12,Salmonella Species & STEC Batch to Test WS,,true,Data Modified,Batch,1,2,https://ait.qbench.net/automation?id=12,2026-08-17T00:19:06.337Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
11,Cannabinoid Potency Batch to Test WS,,true,Data Modified,Batch,2,30,https://ait.qbench.net/automation?id=11,2026-08-17T00:19:19.595Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
10,Pesticide (Quantitative) Analysis,,true,Data Modified,Batch,1,1,https://ait.qbench.net/automation?id=10,2026-08-17T00:19:45.562Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
9,Aspergillus Batch WS to Test WS,,true,Data Modified,Batch,1,4,https://ait.qbench.net/automation?id=9,2026-08-17T00:19:56.120Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
8,Pest Myco (Qualitative) Batch WS to Test WS,,true,Data Modified,Batch,1,3,https://ait.qbench.net/automation?id=8,2026-08-17T00:20:23.152Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
6,Residual Solvents Batch WS to Test WS,,true,Data Modified,Batch,1,2,https://ait.qbench.net/automation?id=6,2026-08-17T00:20:34.486Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
4,Water Activity Batch WS to Test WS,,true,Data Modified,Batch,1,1,https://ait.qbench.net/automation?id=4,2026-08-17T00:20:45.319Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
3,Mycotoxin (Quantitative) Batch WS to Test WS,,true,Data Modified,Batch,1,5,https://ait.qbench.net/automation?id=3,2026-08-17T00:20:55.843Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
1,Heavy Metals Batch WS to Test WS,,true,Data Modified,Batch,1,5,https://ait.qbench.net/automation?id=1,2026-08-17T00:21:14.008Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
15,Water Activity Protocol WS to Batch WS,,false,Data Modified,Batch Object Protocol Step,1,1,https://ait.qbench.net/automation?id=15,2026-08-17T00:21:26.211Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
5,test wa,,false,Data Modified,Batch,1,1,https://ait.qbench.net/automation?id=5,2026-08-17T00:21:36.593Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
2,Heavy Metals Batch WS to Test WS 2,,false,Data Modified,Batch,1,4,https://ait.qbench.net/automation?id=2,2026-08-17T00:21:47.134Z,not_exposed,not_exposed,not_exposed,not_exposed,not_exposed,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
