equipment_id,internal_code,equipment_type,status,active_state,status_is_in_service,general_lab_location,schedule_types,resource_group_ids,calibration_configuration_state,maintenance_configuration_state,calibration_interval,maintenance_interval,required_assignment_behavior,availability_behavior
2,0671,Calibration Weight,IN SERVICE,not_exposed,true,AIT MN,Calibration,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
3,0672,Calibration Weight,RETIRED,not_exposed,false,AIT MN,Calibration,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
71,3085,Calibration Weight,IN SERVICE,not_exposed,true,AIT MN,Calibration,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
72,3089,Calibration Weight,IN SERVICE,not_exposed,true,AIT MN,Calibration,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
73,3438,Calibration Weight,IN SERVICE,not_exposed,true,AIT MN,Calibration,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
104,8414,Calibration Weight,IN SERVICE,not_exposed,true,AIT MN,Calibration,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
70,B01,Top-Loading Balance,IN SERVICE,not_exposed,true,AIT MN,"Calibration, 3 Place Balance Verification","[10,11]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
5,B201,Analytical Balance,IN SERVICE,not_exposed,true,AIT MN,"4 or 5 Place Balance Verification, Calibration",[8],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
6,B202,Analytical Balance,IN SERVICE,not_exposed,true,AIT MN,"4 or 5 Place Balance Verification, Calibration","[5,6,7,8,9]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
7,B203,Analytical Balance,IN SERVICE,not_exposed,true,AIT MN,"4 or 5 Place Balance Verification, Calibration","[4,5,6,7,8,9]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
91,B204,Top-Loading Balance,IN SERVICE,not_exposed,true,AIT MN,"Calibration, 3 Place Balance Verification",[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
8,C01,Centrifuge,BACKUP EQUIPMENT ONLY,not_exposed,false,AIT MN,Manufacturer Preventative Maintenence,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
9,C02,Centrifuge,BACKUP EQUIPMENT ONLY,not_exposed,false,AIT MN,Manufacturer Preventative Maintenence,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
10,C201,Refrigerated Centrifuge,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,"[6,8]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
11,C202,Microcentrifuge,IN SERVICE,not_exposed,true,AIT MN,No Maintenance Required,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
12,C203,Non-refrigerated Centrifuge,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,"[6,8]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
13,D201,Bottle-top Dispenser,IN SERVICE,not_exposed,true,AIT MN,"Calibration, Daily Dispenser Verification | 20mL (ACN)",[8],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
14,D202,Bottle-top Dispenser,IN SERVICE,not_exposed,true,AIT MN,"Calibration, Daily Dispenser Verification | 20mL",[8],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
74,D203,Bottle-top Dispenser,IN SERVICE,not_exposed,true,AIT MN,"Calibration, Replace & Autoclave, Daily Dispenser Verification | 3 mL, Daily Dispenser Verification | 3.6 mL",[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
75,D204,Bottle-top Dispenser,IN SERVICE,not_exposed,true,AIT MN,"Calibration, Replace & Autoclave, Daily Dispenser Verification | 3.9 mL",[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
76,D205,Bottle-top Dispenser,IN SERVICE,not_exposed,true,AIT MN,"Calibration, Replace & Autoclave, Daily Dispenser Verification | 3 mL, Daily Dispenser Verification | 3.6 mL",[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
77,D206,Bottle-top Dispenser,IN SERVICE,not_exposed,true,AIT MN,"Calibration, Replace & Autoclave, Daily Dispenser Verification | 3.9 mL",[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
78,E201,Enumeration System,IN SERVICE,not_exposed,true,AIT MN,"Manufacturer Preventative Maintenence, Tempo QC Check",[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
79,E202,Enumeration System,IN SERVICE,not_exposed,true,AIT MN,"Manufacturer Preventative Maintenence, Tempo QC Check, Tempo Data Export",[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
15,F201,Ultra-Low Freezer,IN SERVICE,not_exposed,true,AIT MN,"Manufacturer Preventative Maintenence, Temperature & Humidity Verification",[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
16,F202,Single Door Freezer,IN SERVICE,not_exposed,true,AIT MN,Temperature & Humidity Verification,[7],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
80,F203,Under-the-bench Freezer,IN SERVICE,not_exposed,true,AIT MN,Temperature & Humidity Verification,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
17,FH201,Total Exhaust Fume Hood,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,[5],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
18,FH202,Self-contained Flow Hood,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,"[10,11]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
101,GCFID202,GCMS,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
19,GCMS201,GCMS,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,[7],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
96,H201,Sample Bag Homogenizer,IN SERVICE,not_exposed,true,AIT MN,No Maintenance Required,"[10,11]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
20,HPLC01,HPLC,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,[8],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
102,I03,Culture Plate Incubator,IN SERVICE,not_exposed,true,AIT MN,Incubator Temperature | 36C,[],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
21,I201,Large Incubator,IN SERVICE,not_exposed,true,AIT MN,Incubator Temperature | 36C,[10],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
22,I202,Large Incubator,IN SERVICE,not_exposed,true,AIT MN,Incubator Temperature | 42C,[10],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
94,I203,Large Incubator,IN SERVICE,not_exposed,true,AIT MN,Incubator Temperature | 36C,"[10,11]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
97,I204,Small Incubator,IN SERVICE,not_exposed,true,AIT MN,Incubator Temperature | 25C,[11],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
23,ICPMS01,ICPMS,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,[5],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
24,LCMS201,LCMS,IN SERVICE,not_exposed,true,AIT MN,Manufacturer Preventative Maintenence,"[6,9]",schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
25,MB201,Moisture Balance,OUT OF SERVICE,not_exposed,false,,,[],no_schedule_visible,no_schedule_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
26,MBB201,Blender,RETIRED,not_exposed,false,AIT MN,No Maintenance Required,[8],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
27,MBB202,Blender,RETIRED,not_exposed,false,AIT MN,No Maintenance Required,[8],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
28,MD201,Microwave Digester,IN SERVICE,not_exposed,true,AIT MN,Calibration,[5],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
69,MG201,10X Magnifying Lens,IN SERVICE,not_exposed,true,AIT MN,No Maintenance Required,[4],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
103,MG202,10X-50X Magnifying Lens,IN SERVICE,not_exposed,true,AIT MN,No Maintenance Required,[4],schedule_name_visible,schedule_name_visible,resolve_by_schedule_definition,resolve_by_schedule_definition,not_exposed,not_exposed
