object_type,pane_id,field_id,label,api_system_name,field_classification,data_type,required_optional,read_only_writable,default_value_state,default_value,units,validation,option_source,key_value_store_association,formula,derived_behavior,conditional_visibility,layout_section,layout_group,display_order,display_state,active_inactive_state,global_division_definition,program_restriction,assay_restriction,matrix_restriction,external_system_mapping,report_usage,automation_usage,parser_usage
Order,fields-order,not_exposed,Customer,customer,not_exposed,not_exposed_without_prohibited_edit_action,required,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,1,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,[],not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Email To,submitted_by,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,2,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Special Instructions,special_instructions,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,3,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Date Received,date_received,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,4,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Due Date,date_required,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,5,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Date Completed,date_completed,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,6,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Invoicing Notes,invoicing_notes,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,7,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Tags,tags,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,8,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Status,status,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,9,visible_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":false,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
Order,fields-order,not_exposed,Additional Customers,additional_customers,core,not_exposed_without_prohibited_edit_action,optional,not_exposed_without_prohibited_edit_action,exposed_empty,,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed_without_prohibited_edit_action,not_exposed,not_exposed,ungrouped_or_not_exposed,10,hidden_in_qbench_ui,not_separately_exposed,true,not_exposed,not_exposed,not_exposed,"[{""configured"":true,""field_classification"":""core"",""target"":""lims""},{""configured"":true,""field_classification"":""core"",""target"":""portal""}]",not_exposed,not_exposed,not_exposed
