parser_id,name,parser_type,configuration_active,trigger,assay,file_type,delimiter,data_target,filename_condition,filename_text,patch_worksheet_data,finder_count,version_rows_json,source_capture_state,source_line_count,source_sha256,source_artifact_path,url,capture_timestamp_utc,history,screenshots
50,Terpenes Simple Results Parser V2 Controls,Code,true,When file is added to Batch attachments,Terpenes — TR |,,,,End With,.txt,false,0,"[""2 - updated test id version\t APPROVED Active since 08/04/2026"",""1 - terpenes-simple-results-parser-v2-controls-r2\t APPROVED""]",full_editor_text_recaptured_via_read_only_select_all,1274,0d8e998c017bd1b0888c1edf4b06cdc622c47e1a2c788e8b3ceead0951fb4841,QBench/Rescans/2026-08-16/File_Parsers/50/source.js,https://ait.qbench.net/templates/file-parser?id=50,2026-08-17T00:28:01.179Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
49,ZZZ_SANDBOX_ONLY_Terpenes_Attachment_Context_Probe_2026-07-16,Code,false,When file is added to Batch attachments,Select...,,,,Equal,Output_redacted_fixture.txt,false,0,"[""1 - Stage 2B Temporary Attachment Context Probe\t APPROVED Active since 07/15/2026""]",full_editor_text_recaptured_via_read_only_select_all,113,b78253516708c75444cfb4b1401c8d87bd206765851d9f8f56225dfe9478939f,QBench/Rescans/2026-08-16/File_Parsers/49/source.js,https://ait.qbench.net/templates/file-parser?id=49,2026-08-17T00:28:29.571Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
48,ZZZ_SANDBOX_ONLY_Terpenes_Runtime_NoWrite_Probe,Code,false,Select...,Select...,,,,Select...,,false,0,"[""2 - Stage 2A Read-Only Batch-Context Preview\tDRAFT"",""1 - Stage 1 No-Write Runtime Preview\tDRAFT""]",full_editor_text_recaptured_via_read_only_select_all,53,eeb8c72a1c5bd995be44a648ed65f6a48fe6f66cddf89d3ccdb1b4479621b82d,QBench/Rescans/2026-08-16/File_Parsers/48/source.js,https://ait.qbench.net/templates/file-parser?id=48,2026-08-17T00:28:56.528Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
47,Pest Myco Qualitative,No Code,true,When file is added to Batch attachments,Pesticides — PE | — MTH-PM-01; MTH-PE-01,"Delimited file (Excel, CSV, TSV, etc.).",Comma Separated,Populate Batch Worksheet,Contain,.csv,true,12,[],not_applicable_no_code,0,,,https://ait.qbench.net/templates/file-parser?id=47,2026-08-17T00:33:42.150Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
46,Cannabinoid Potency Parser,Code,true,When file is added to Batch attachments,Cannabinoid Potency — CP | — MTH-CP-01,,,,End With,.csv,false,0,"[""1 - AIT-135 Cannabinoid Potency Parser\t APPROVED Active since 07/10/2026""]",full_editor_text_recaptured_via_read_only_select_all,380,d66415468b309b82775a2af2e925a3ad0551bc667b34b0ac568d5b42ac452c33,QBench/Rescans/2026-08-16/File_Parsers/46/source.js,https://ait.qbench.net/templates/file-parser?id=46,2026-08-17T00:29:18.771Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
45,Gene-up,Code,false,Select...,Select...,,,,Select...,,false,0,[],full_editor_text_recaptured_via_read_only_select_all,41,1a5bf4c737e87cfcd4ffd2e3e7f4d29d854fe88c81b9e688c027a35fdfc9ff64,QBench/Rescans/2026-08-16/File_Parsers/45/source.js,https://ait.qbench.net/templates/file-parser?id=45,2026-08-17T00:29:40.370Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
41,Heavy Metals DataManager,No Code,true,When file is added to Batch attachments,Heavy Metals — HM | — MTH-HM-01,"Delimited file (Excel, CSV, TSV, etc.).",Tab Separated,Populate Batch Worksheet,Contain,.txt,true,48,[],not_applicable_no_code,0,,,https://ait.qbench.net/templates/file-parser?id=41,2026-08-17T00:34:05.067Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
25,Cannabis Heavy Metals ICPMS File Parser,No Code,false,When file is added to Batch attachments,Heavy Metals — HM | — MTH-HM-01,"Delimited file (Excel, CSV, TSV, etc.).",Comma Separated,Populate Batch Worksheet,Contain,IC,true,1,[],not_applicable_no_code,0,,,https://ait.qbench.net/templates/file-parser?id=25,2026-08-17T00:34:24.358Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
22,Heavy Metals File Parser - AMM,No Code,false,When file is added to Batch attachments,Heavy Metals — HM | — MTH-HM-01,"Delimited file (Excel, CSV, TSV, etc.).",Comma Separated,Populate Batch Worksheet,End With,.csv,true,1,[],not_applicable_no_code,0,,,https://ait.qbench.net/templates/file-parser?id=22,2026-08-17T00:34:43.715Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
21,Example [File Parser],No Code,true,When file is uploaded from navigation bar and Test IDs can be found in a specific cell range in file,,"Delimited file (Excel, CSV, TSV, etc.).",Excel (.xlsx and .xlsm),Populate Multiple Test Worksheets,End With,.xlsx,true,1,[],not_applicable_no_code,0,,,https://ait.qbench.net/templates/file-parser?id=21,2026-08-17T00:35:08.666Z,not_opened_privacy_boundary,omitted_unsafe_full_page_scope
