configuration_id,item_name,category,inventory_type,units,size,active_state,resource_group_ids,source_page,lot_tracking_state,expiration_tracking_state,storage_location_state,reorder_configuration_state,minimum_stock_configuration_state,description,supplier_manufacturer_catalog,stock_balances,lots_transactions_attachments
116,"Acetonitrile, HPLC (Concord)",Solvents,not_exposed,"[""mL""]","[""4000""]",not_exposed,"[6,8,9]",1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
246,"Acetonitrile, HPLC (Fisher)",Solvents,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
152,Alconox Detergent,General Consumables,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
277,Blank CBD Flower Biomass,Consumables,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
286,Blank Gummy Base Matrix,Consumables,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
121,Blank Hemp Flower Matrix,Consumables,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
228,Blank Hemp Oil Matrix,Consumables,not_exposed,"[""g""]","[""100""]",not_exposed,[7],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
287,Blank MCT Oil Matrix,Consumables,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
165,"Blank Olive Oil Matrix, neat",Consumables,not_exposed,"[""g""]","[""2.5""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
174,Blank Powdered Gelatin Mix Matrix,Consumables,not_exposed,"[""g""]",,not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
125,"Cellulose powder, microcrystallline",Consumables,not_exposed,"[""g""]","[""1000""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
162,CP - LC Column NexLeaf CBX,Consumables,not_exposed,"[""column""]","[""1""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
129,CP - 13-Cannabinoid Mix,Reference Standards,not_exposed,"[""uL""]","[""1000""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
114,CP - 80:20 ACN:H2O Sol.,Formulation,not_exposed,"[""mL""]","[""250""]",not_exposed,[8],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
199,CP - Captiva EMR Filter Tubes,Consumables,not_exposed,"[""tubes""]","[""100""]",not_exposed,"[6,8]",1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
128,CP - Custom 12-Phytocannabinoid Mixture CRM,Reference Standards,not_exposed,,,not_exposed,[],1,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,field_present_behavior_not_verified,omitted,omitted,omitted,not_opened
