store_id,store_name,ordinal,path_json,path_occurrence,value_type,value,redaction_reason
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,6,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBC"",""LOQ""]",1,number,0.001,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,7,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBC"",""MU""]",1,number,2.5,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,8,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBC"",""Pass/Fail Limit""]",1,string,,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,10,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBD"",""LOQ""]",1,number,0.001,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,11,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBD"",""MU""]",1,number,11.2,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,12,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBD"",""Pass/Fail Limit""]",1,string,,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,14,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBDa"",""LOQ""]",1,number,0.001,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,15,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBDa"",""MU""]",1,number,3.4,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,16,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBDa"",""Pass/Fail Limit""]",1,string,,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,18,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBG"",""LOQ""]",1,number,0.001,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,19,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBG"",""MU""]",1,number,7.3,
55a33596-fde6-44ed-8b21-c568e0c9b259,Cannabinoid Potency,20,"[""MN OCM Cannabis"",""Cannabis or Hemp Flower for Concentrate"",""Original Concentration"",""CBG"",""Pass/Fail Limit""]",1,string,,
