panel_id,panel_name,panel_active,sequence,assay_id,assay_name,priority,count,configured_order,detail_url
1,MN Flower Compliance Panel,true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,4,5,Mycotoxins,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,5,9,Water Activity,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,6,12,Foreign Material,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,7,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,8,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,9,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,10,18,Total Aerobic Microbial,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,11,19,Total Yeast and Mold,,,,https://ait.qbench.net/panel?id=1
1,MN Flower Compliance Panel,true,12,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=1
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,4,5,Mycotoxins,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,5,7,Residual Solvents,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,6,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,7,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,8,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,9,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=4
4,MN OCM Cannabis/Hemp Resin (Solvent) Compliance Panel,true,10,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=4
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,4,5,Mycotoxins,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,5,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,6,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,7,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,8,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=3
3,MN OCM Cannabis/Hemp Rosin (solventless) Compliance Panel,true,9,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=3
2,MN OCM Flower for Concentrate Panel (Recommended),true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,4,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,5,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,6,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,7,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=2
2,MN OCM Flower for Concentrate Panel (Recommended),true,8,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=2
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,2,3,Heavy Metals,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,3,4,Pesticides,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,4,5,Mycotoxins,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,5,7,Residual Solvents,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,6,12,Foreign Material,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,7,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,8,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,9,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,10,17,Listeria Monocytogenes,,,,https://ait.qbench.net/panel?id=5
5,MN OCM Hemp Resins Compliance Panel (Artificially Derived),true,11,20,Enterobacteriaceae,,,,https://ait.qbench.net/panel?id=5
6,MN OCM Manufactured Final Products Compliance Panel,true,1,2,Cannabinoid Potency,,,,https://ait.qbench.net/panel?id=6
6,MN OCM Manufactured Final Products Compliance Panel,true,2,14,Aspergillus spp.,,,,https://ait.qbench.net/panel?id=6
6,MN OCM Manufactured Final Products Compliance Panel,true,3,15,Salmonella Species,,,,https://ait.qbench.net/panel?id=6
6,MN OCM Manufactured Final Products Compliance Panel,true,4,16,Shiga toxin-producing E. coli,,,,https://ait.qbench.net/panel?id=6
