protocol_id,protocol_name,protocol_active_state,step_sequence,step_id,step_name,step_description,worksheet_id,worksheet_name,priority,protocol_detail_url
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,1,11,Assigning Equipment Usage to Batch,Instructions on how to assign equipment to batch.,26,[Protocol Step WS] Assigning Equipment to Batch,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,2,12,Assigning Inventory Usage to Batch,Instructions on how to assign inventory used to batch.,27,[Protocol Step WS] Assigning Inventory to Batch,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,3,81,Cannabinoid Potency | Solution Prep,,148,Cannabinoid Potency {Protocol WS} Solution Prep,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,4,13,Cannabinoid Potency Preparation of Lab Control Samples,"This protocol step worksheet is to gather the information for Potency Preparation of Lab Control Samples. It gives the steps and form from Cannabinoid Potency Assay SOP Dated 3/11/2026, Section 8.6.",32,Cannabinoid Potency {Protocol WS} Preparation of Lab Control Samples,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,5,14,Cannabinoid Potency | Preparation of Flower/Plant Samples | Step 1,Add 20.0 mL of ACN to the 0.5 g of plant sample in the 50 mL conical tube,33,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,6,15,Cannabinoid Potency | Preparation of Flower/Plant Samples | Vortex/Sonicate,"This protocol step is to document the preparation of flower/plant samples. It gives the steps from Cannabinoid Potency Assay SOP, Section 8.7.5 through 8.7.6.8.7.5 Vortex sample at speed 10 for 5 minutes, then sonicate for 5 minutes.8.7.6 Vortex sample at speed 10 for 1 minute, then sonicate for 5 minutes.",34,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples Vortex/Sonicate,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,7,16,Cannabinoid Potency | Preparation of Flower/Plant Samples | Centrifuge,"This protocol step is to document the preparation of flower/plant samples. It gives the steps from Cannabinoid Potency Assay SOP, Section 8.7.5 through 8.7.7.8.7.7 Centrifuge the samples at ≥3000 rpm for 5 minutes.",35,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples Centrifuge,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,8,17,Cannabinoid Potency | Preparation of Flower/Plant Samples | Filter/Dilution,"This protocol step is to document the preparation of flower/plant samples. It gives the steps from Cannabinoid Potency Assay SOP, Section 8.7.8 through 8.7.9.8.7.8 Attach a clean, 0.2 µm PTFE filter to a syringe and dispense contents into a new 5 mL tube (DF=40).8.7.9 Dilute the samples with ACN (if needed). Common dilution factors include: • Hemp Flower: 400x – 600x• Marijuana Flower: 1000x – 1500x• Proficiency Hemp Flower: 100x & 500x",36,Cannabinoid Potency {Protocol WS} Preparation of Flower/Plant Samples Filter,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,9,78,Cannabinoid Potency | Preparation of Concentrate Samples,,145,Cannabinoid Potency {Protocol WS} Preparation of Concentrate Samples,,https://ait.qbench.net/protocol?id=4
4,[Batch] Cannabinoid Potency Protocol,not_exposed_on_detail_page,10,79,Cannabinoid Potency | Preparation of Concentrate Samples | Vortex/Sonicate,,146,Cannabinoid Potency {Protocol WS} Preparation of Concentrate Samples Vortex/Sonicate,,https://ait.qbench.net/protocol?id=4
