resource_group_id,resource_group_name,display_sequence,equipment_id,internal_code,equipment_type,auto_use,evidence_url
3,Water Activity Analysis,1,67,WA201,Water Activity Meter,true,https://ait.qbench.net/resourcegroup?id=3#equipments
4,Foreign Material Analysis,1,7,B203,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=4#equipments
4,Foreign Material Analysis,2,69,MG201,10X Magnifying Lens,false,https://ait.qbench.net/resourcegroup?id=4#equipments
4,Foreign Material Analysis,3,103,MG202,10X-50X Magnifying Lens,false,https://ait.qbench.net/resourcegroup?id=4#equipments
5,Heavy Metals Analysis,1,6,B202,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,2,7,B203,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,3,17,FH201,Total Exhaust Fume Hood,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,4,23,ICPMS01,ICPMS,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,5,28,MD201,Microwave Digester,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,6,30,P201,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,7,31,P202,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,8,32,P203,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,9,33,P204,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,10,34,P205,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,11,35,P206,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,12,36,P207,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,13,37,P208,Microman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,14,42,P213,Pipetman,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,15,43,P214,Repeater,false,https://ait.qbench.net/resourcegroup?id=5#equipments
5,Heavy Metals Analysis,16,44,P215,Repeater,false,https://ait.qbench.net/resourcegroup?id=5#equipments
6,Mycotoxin Analysis,1,6,B202,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,2,7,B203,Analytical Balance,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,3,10,C201,Refrigerated Centrifuge,false,https://ait.qbench.net/resourcegroup?id=6#equipments
6,Mycotoxin Analysis,4,12,C203,Non-refrigerated Centrifuge,false,https://ait.qbench.net/resourcegroup?id=6#equipments
