resource_group_id,resource_group_name,display_sequence,inventory_item_id,item_name,category_id,default_quantity,units,size,evidence_url
3,Water Activity Analysis,1,206,WA - 0.150aw Verification Std,6,,tubes,50,https://ait.qbench.net/resourcegroup?id=3#items
3,Water Activity Analysis,2,207,WA - 1.000aw Verification Std,6,,tubes,50,https://ait.qbench.net/resourcegroup?id=3#items
3,Water Activity Analysis,3,215,WA - 0.500aw Verification Std,6,,tubes,50,https://ait.qbench.net/resourcegroup?id=3#items
3,Water Activity Analysis,4,216,WA - 0.760aw Verification Std,6,,tubes,50,https://ait.qbench.net/resourcegroup?id=3#items
5,Heavy Metals Analysis,1,110,HM - 2.0% Nitric Acid Solution,10,,mL,5100,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,2,118,HM - Arsenic (As) ICP Std,6,,uL,500000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,3,122,HM - Cadmium (Cd) ICP Std,6,,uL,500000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,4,138,HM - Gold ICP Calibration Std,6,,uL,100000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,5,139,HM - CAL4,10,,mL,40,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,6,142,HM - Tuning Sol. (IS Stock),6,,mL,125,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,7,143,HM - 4 HM Mix (ICV Stock),6,,uL,100000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,8,144,HM - ICV Dilution Solution (IDS),10,,uL,10000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,9,147,HM - ICPMS Tuning Solution,6,,mL,125,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,10,148,HM - IS Working Solution,10,,mL,1000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,11,154,HM - Lead (Pb) ICP Std,6,,uL,500000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,12,155,HM - Mercury (Hg) ICP Std,6,,uL,500000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,13,160,HM - Mixed Std Stock(MXS),10,,uL,10000,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,14,163,"HM - Nitric Acid, ~68%",4,,mL,2500,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,15,175,"Pressurized Gas, Argon",5,,tank,1,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,16,176,"Pressurized Gas, Helium",5,,tank,1,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,17,219,HM - CAL3,10,,mL,40,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,18,220,HM - CAL2,10,,mL,40,https://ait.qbench.net/resourcegroup?id=5#items
5,Heavy Metals Analysis,19,221,HM - CAL1,10,,mL,40,https://ait.qbench.net/resourcegroup?id=5#items
