family,template_id,name,type_or_level,configuration_status,active_version,version_count,newer_draft_or_pending_versions,source_availability,assay_association,panel_association,url
Email_Templates,1,Samples Received Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=1
Email_Templates,2,Sample Report Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=2
Email_Templates,5,Order Published Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=5
Email_Templates,6,Order Report Published Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=6
Email_Templates,7,Sample Report Published Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=7
Email_Templates,8,Test Report Published Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=8
Email_Templates,9,Order Request Revision Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=9
Email_Templates,10,Invoice Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=10
Email_Templates,12,Order Request Conversion Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=12
Email_Templates,13,New Comment Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=13
Email_Templates,15,Payment Received Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=15
Email_Templates,16,Quotation Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=16
Email_Templates,17,Equipment Out Of Service Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=17
Email_Templates,18,Order Request Approved Email,Email,Active,1,1,,1:full_editor_text_recaptured_via_read_only_select_all,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=18
Email_Templates,51,Stability Due,Email,Active,,0,,0:empty_editor_source_captured,not_exposed,not_exposed,https://ait.qbench.net/templates/email?id=51
Internal_Reports,31,Test,Internal Report,Active,,0,,not_exposed_on_read_only_configuration_page,not_exposed,not_exposed,https://ait.qbench.net/templates/internal_report?id=31
Internal_Reports,52,# Tests,Internal Report,Active,,0,,not_exposed_on_read_only_configuration_page,not_exposed,not_exposed,https://ait.qbench.net/templates/internal_report?id=52
Invoice_Templates,40,Invoice Template Configuration,Visual Editor,Active,1,1,,1:sanitized_visible_editor_html,not_exposed,not_exposed,https://ait.qbench.net/templates/invoice?id=40
Label_Templates,24,Inventory Label,Inventory,Active,5,6,6,6:sanitized_visible_editor_html; 5:unavailable_after_read_only_version_selection,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=24
Label_Templates,29,Equipment Label (Barcode),Equipment,Active,4,5,5,5:sanitized_visible_editor_html; 4:unavailable_after_read_only_version_selection,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=29
Label_Templates,30,Equipment Calibration,Equipment,Inactive,,2,,2:sanitized_visible_editor_html,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=30
Label_Templates,32,Sample Intake Sample Label,Sample,Active,4,5,5,5:sanitized_visible_editor_html; 4:unavailable_after_read_only_version_selection,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=32
Label_Templates,33,Sample Assay Labels,Test,Active,2,3,3,3:sanitized_visible_editor_html; 2:unavailable_after_read_only_version_selection,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=33
Label_Templates,34,Location Label,Location,Active,3,4,4,4:sanitized_visible_editor_html; 3:unavailable_after_read_only_version_selection,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=34
Label_Templates,35,Batch Label (Barcode),Batch,Active,2,3,3,3:sanitized_visible_editor_html; 2:unavailable_after_read_only_version_selection,not_exposed,not_exposed,https://ait.qbench.net/templates/label?id=35
Platemap_Templates,39,Total Aerobic Microbial,96 Well,Active,,0,,unversioned_empty_96_well_grid,not_exposed,not_exposed,https://ait.qbench.net/templates/platemap?id=39
Template_Macros,27,gdxg,Code,Active,,0,,0:empty_editor_source_captured,not_exposed,not_exposed,https://ait.qbench.net/templates/macro?id=27
