worksheet_id,worksheet_name,worksheet_type,current_list_status,prior_present,comparison_class,prior_version_count,current_version_count,version_count_delta,added_version_ids,removed_version_ids,prior_active_version_id,prior_active_version_number,prior_active_status,current_active_version_id,current_active_version_number,current_active_status,active_transition,newer_nonactive_versions,current_no_active,current_no_version,export_required_count,native_export_state,structural_comparison,note
2,Example Batch Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,,,,,,,remains_no_active,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
3,[Batch] Example Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,2,2,0,,,5,2,APPROVED,5,2,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
4,Training Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,1,1,0,,,,,,,,,remains_no_active,,true,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,No active version; latest draft/pending version is the policy-selected export target.
5,Heavy Metals [Batch] Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,28,28,0,,,588,28,APPROVED,588,28,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
6,Heavy Metals [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,33,35,2,675;704,,537,32,APPROVED,675,34,APPROVED,changed,v35 DRAFT (id 704),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,14,16,2,642;672,,598,14,APPROVED,672,16,APPROVED,changed,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,53,60,7,659;660;661;662;663;676;699,,599,52,APPROVED,676,59,APPROVED,changed,v60 DRAFT (id 699),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
9,Mycotoxin (Quantitative) [Batch] Worksheet,Dynamic Spreadsheet,Active,true,version_metadata_unchanged,8,8,0,,,300,8,APPROVED,300,8,APPROVED,unchanged,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
10,Mycotoxin (Qualitative) [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,26,28,2,679;698,,428,25,APPROVED,602,26,APPROVED,changed,v27 APPROVED (id 679);v28 DRAFT (id 698),false,false,3,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
11,Residual Solvents [Batch] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,7,9,2,693;694,,507,7,APPROVED,694,9,APPROVED,changed,,false,false,1,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
12,Residual Solvents [Test] Worksheet,Dynamic Spreadsheet,Active,true,versions_added_active_changed,36,42,6,683;692;695;696;697;706,,515,35,APPROVED,697,41,APPROVED,changed,v42 DRAFT (id 706),false,false,2,blocked_browser_tooling_no_download_event,not_performed_native_exports_blocked,
