worksheet_id,worksheet_name,worksheet_type,list_status,version_id,version_number,version_status,active,selected_at_initial_capture,version_label,version_note,status_display,export_required,export_requirement_reason,export_result,artifact_path,screenshot_path,capture_method,detail_url,blocker
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,548,9,APPROVED,true,true,9 - APPROVED (ACTIVE),,APPROVED Active since 05/28/2026,true,active_approved,blocked_browser_tooling_no_download_event,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,Native Export Spreadsheet control produced no downloadable file through available browser tooling.
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,539,8,APPROVED,false,false,8 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,538,7,APPROVED,false,false,7 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,517,6,REJECTED,false,false,6 - REJECTED,,REJECTED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,363,5,APPROVED,false,false,5 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,362,4,APPROVED,false,false,4 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,360,3,APPROVED,false,false,3 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,359,2,APPROVED,false,false,2 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
80,Aspergillus Microbial Analysis [Batch WS],Dynamic Spreadsheet,Active,260,1,APPROVED,false,false,1 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=80,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,672,16,APPROVED,true,true,16 - APPROVED (ACTIVE),,APPROVED Active since 07/30/2026,true,active_approved,blocked_browser_tooling_no_download_event,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,Native Export Spreadsheet control produced no downloadable file through available browser tooling.
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,642,15,APPROVED,false,false,15 - True mass update for homogeneityh copy/paste - APPROVED,True mass update for homogeneityh copy/paste,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,598,14,APPROVED,false,false,14 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,597,13,PENDING,false,false,13 - PENDING,,PENDING Approve Reject,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,564,12,APPROVED,false,false,12 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,557,11,APPROVED,false,false,11 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,552,10,APPROVED,false,false,10 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,460,9,APPROVED,false,false,9 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,433,8,APPROVED,false,false,8 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,431,7,DRAFT,false,false,7 - DRAFT,,DRAFT,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,306,6,APPROVED,false,false,6 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,305,5,PENDING,false,false,5 - PENDING,,PENDING Approve Reject,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,287,4,PENDING,false,false,4 - PENDING,,PENDING Approve Reject,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,251,3,APPROVED,false,false,3 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,21,2,APPROVED,false,false,2 - VC-2/25/26 - APPROVED,VC-2/25/26,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
7,Cannabinoid Potency [Batch] Worksheet,Dynamic Spreadsheet,Active,9,1,REJECTED,false,false,1 - VC-2/18/26 - REJECTED,VC-2/18/26,REJECTED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=7,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,699,60,DRAFT,false,true,60 - [AIT-88] Add named cells for METRC - DRAFT,[AIT-88] Add named cells for METRC,DRAFT,true,newer_nonactive_version,blocked_browser_tooling_no_download_event,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,Native Export Spreadsheet control produced no downloadable file through available browser tooling.
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,676,59,APPROVED,true,false,59 - KV update - APPROVED (ACTIVE),KV update,APPROVED Active since 08/05/2026,true,active_approved,blocked_browser_tooling_no_download_event,,QBench/Rescans/2026-08-16/Screenshots/Worksheets/8/worksheet_8_cannabinoid-potency-test_version-selector_2026-08-16.png,DOM extraction,https://ait.qbench.net/worksheet?id=8,Native Export Spreadsheet control produced no downloadable file through available browser tooling.
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,663,58,APPROVED,false,false,58 - updated again - APPROVED,updated again,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,662,57,APPROVED,false,false,57 - update - APPROVED,update,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,661,56,APPROVED,false,false,56 - formatting - APPROVED,formatting,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,660,55,APPROVED,false,false,55 - mg-serving update - APPROVED,mg-serving update,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,659,54,APPROVED,false,false,54 - 0.000% update - APPROVED,0.000% update,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,624,53,DRAFT,false,false,53 - [AIT-88] Add METRC table and named cells - DRAFT,[AIT-88] Add METRC table and named cells,DRAFT,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,599,52,APPROVED,false,false,52 - Variance Fixed - APPROVED,Variance Fixed,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,596,51,APPROVED,false,false,51 - Hex tile edit - APPROVED,Hex tile edit,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,592,50,APPROVED,false,false,50 - New edit - APPROVED,New edit,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,589,49,DRAFT,false,false,49 - QSUP-3672 - DRAFT,QSUP-3672,DRAFT,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,567,48,APPROVED,false,false,48 - QSUP-3682 - Remove trailing newline from CBN Product Label token - APPROVED,QSUP-3682 - Remove trailing newline from CBN Product Label token,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,556,47,APPROVED,false,false,47 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,554,46,APPROVED,false,false,46 - APPROVED,,APPROVED,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,553,45,DRAFT,false,false,45 - [AIT-88] Add METRC table and named cells - DRAFT,[AIT-88] Add METRC table and named cells,DRAFT,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
8,Cannabinoid Potency [Test] Worksheet,Dynamic Spreadsheet,Active,514,44,DRAFT,false,false,44 - DRAFT,,DRAFT,false,,not_required_by_version_policy,,,DOM extraction,https://ait.qbench.net/worksheet?id=8,
