sample_name,sample_id,source_id,source_name,worksheet_label,r_time_min,area,height,labsolutions_conc,curve,area_ratio,height_ratio,normalized_conc_percent_not_potency,sample_amount_export,dilution_factor_export
TERPENE_FIXTURE,FIXTURE_LOW,2,alpha-Pinene,α-Pinene,5.809,134208,52649,24.608,Linear,0.66707,0.598465,2.716,1,1
TERPENE_FIXTURE,FIXTURE_LOW,3,Camphene,Camphene,6.22,131698,47036,24.217,Linear,0.654593,0.53467,2.672,1,1
TERPENE_FIXTURE,FIXTURE_LOW,4,beta-Myrcene,β-Myrcene,6.692,122439,43953,25.418,Linear,0.608572,0.499626,2.805,1,1
TERPENE_FIXTURE,FIXTURE_LOW,5,(-)-beta-Pinene,(-)-β-pinene,6.803,132033,43860,24.345,Linear,0.656261,0.498563,2.687,1,1
TERPENE_FIXTURE,FIXTURE_LOW,6,delta-3-Carene,Delta-3-carene,7.383,140362,41370,23.937,Linear,0.697657,0.470264,2.642,1,1
TERPENE_FIXTURE,FIXTURE_LOW,7,alpha-Terpinene,α-Terpinene,7.62,94668,30256,18.121,Linear,0.470537,0.343923,2.0,1,1
TERPENE_FIXTURE,FIXTURE_LOW,8,Ocimene 1,cis-Ocimene,7.763,34193,10849,23.686,Linear,0.169956,0.123322,2.614,1,1
TERPENE_FIXTURE,FIXTURE_LOW,9,D-Limonene,d-Limonene,7.908,129120,39701,23.913,Linear,0.64178,0.451287,2.639,1,1
TERPENE_FIXTURE,FIXTURE_LOW,10,p-Cymene,p-Cymene,8.001,130568,41038,23.284,Linear,0.648978,0.466488,2.57,1,1
TERPENE_FIXTURE,FIXTURE_LOW,11,Ocimene 2,trans-Ocimene,8.191,88344,26734,23.805,Linear,0.439107,0.30389,2.627,1,1
TERPENE_FIXTURE,FIXTURE_LOW,12,Eucalyptol,Eucalyptol,8.297,99844,27564,23.569,Linear,0.496265,0.313319,2.601,1,1
TERPENE_FIXTURE,FIXTURE_LOW,13,Gamma terpinene,γ-Terpinene,8.697,123249,35058,23.267,Linear,0.612599,0.398504,2.568,1,1
TERPENE_FIXTURE,FIXTURE_LOW,14,Terpinolene,Terpinolene,9.569,105634,36934,20.898,Linear,0.525045,0.419837,2.306,1,1
TERPENE_FIXTURE,FIXTURE_LOW,15,Linalool,Linalool,10.329,100543,43553,22.678,Linear,0.499743,0.495072,2.503,1,1
TERPENE_FIXTURE,FIXTURE_LOW,16,(-)-Isopulegol,(-)-Isopulegol,11.325,87957,44293,21.578,Linear,0.437185,0.503488,2.381,1,1
TERPENE_FIXTURE,FIXTURE_LOW,17,Geraniol,Geraniol,12.465,88755,51604,21.302,Linear,0.441149,0.586586,2.351,1,1
TERPENE_FIXTURE,FIXTURE_LOW,18,beta-Caryophyllene,β-Caryophyllene,13.904,145002,83454,26.624,Linear,0.720721,0.948635,2.938,1,1
TERPENE_FIXTURE,FIXTURE_LOW,19,alpha-Humulene,α-Humulene,14.157,116165,67623,22.495,Linear,0.577387,0.768677,2.482,1,1
TERPENE_FIXTURE,FIXTURE_LOW,20,Nerolidol 1,cis-Nerolidol,14.519,59501,28691,31.756,Linear,0.295746,0.326135,3.505,1,1
TERPENE_FIXTURE,FIXTURE_LOW,21,Nerolidol 2,trans-Nerolidol,14.697,69938,40202,25.004,Linear,0.34762,0.456979,2.759,1,1
TERPENE_FIXTURE,FIXTURE_LOW,22,(-)-Guaiol,(-)-Guaiol,15.113,134445,58264,31.204,Linear,0.668248,0.6623,3.444,1,1
TERPENE_FIXTURE,FIXTURE_LOW,23,Caryophyllene oxide,Caryophyllene Oxide,15.21,131824,65218,14.307,Linear,0.655218,0.741346,1.579,1,1
TERPENE_FIXTURE,FIXTURE_LOW,24,(-)-alpha-Bisabolol,(-)-α-Bisabolol,15.692,1300220,209040,286.135,Linear,6.46263,2.37619,31.577,1,1
