Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.,worksheet_label,reportable
1,5.635,5.537,5.742,201190,87973,2.287,100.0,V,1,Dimethylacetamide,0.0,143860,1.043,1.095,0.0,0.0,1.0,1.0,11.036,11.036,Dimethylacetamide,False
2,5.809,5.742,5.929,134208,52649,2.549,24.608,V,2,alpha-Pinene,0.031,119798,1.252,1.066,2.755,0.0,0.66707,0.598465,2.716,2.716,α-Pinene,True
3,6.22,6.101,6.358,131698,47036,2.8,24.217,,3,Camphene,0.104,117570,1.276,1.032,5.913,3.369,0.654593,0.53467,2.672,2.672,Camphene,True
4,6.692,6.596,6.75,122439,43953,2.786,25.418,V,4,beta-Myrcene,0.188,136802,1.096,1.027,6.519,1.804,0.608572,0.499626,2.805,2.805,β-Myrcene,True
5,6.803,6.75,6.923,132033,43860,3.01,24.345,V,5,(-)-beta-Pinene,0.207,118404,1.267,1.045,1.473,1.105,0.656261,0.498563,2.687,2.687,(-)-β-pinene,True
6,7.383,7.259,7.473,140362,41370,3.393,23.937,V,6,delta-3-Carene,0.31,120863,1.241,0.868,7.089,1.496,0.697657,0.470264,2.642,2.642,Delta-3-carene,True
7,7.62,7.548,7.702,94668,30256,3.129,18.121,V,7,alpha-Terpinene,0.352,136849,1.096,1.051,2.844,1.136,0.470537,0.343923,2.0,2.0,α-Terpinene,True
8,7.763,7.702,7.833,34193,10849,3.152,23.686,V,8,Ocimene 1,0.378,139997,1.071,1.031,1.731,1.072,0.169956,0.123322,2.614,2.614,cis-Ocimene,True
9,7.908,7.833,7.959,129120,39701,3.252,23.913,V,9,D-Limonene,0.404,137125,1.094,0.0,1.732,1.068,0.64178,0.451287,2.639,2.639,d-Limonene,True
10,8.001,7.959,8.089,130568,41038,3.182,23.284,V,10,p-Cymene,0.42,140251,1.07,0.0,1.083,1.041,0.648978,0.466488,2.57,2.57,p-Cymene,True
11,8.191,8.089,8.243,88344,26734,3.305,23.805,V,11,Ocimene 2,0.454,145168,1.033,0.0,2.226,1.08,0.439107,0.30389,2.627,2.627,trans-Ocimene,True
12,8.297,8.243,8.416,99844,27564,3.622,23.569,V,12,Eucalyptol,0.473,118080,1.27,0.0,1.169,1.042,0.496265,0.313319,2.601,2.601,Eucalyptol,True
13,8.697,8.593,8.827,123249,35058,3.516,23.267,,13,Gamma terpinene,0.544,139289,1.077,1.027,4.225,1.15,0.612599,0.398504,2.568,2.568,γ-Terpinene,True
14,9.569,9.499,9.639,105634,36934,2.86,20.898,V,14,Terpinolene,0.698,258093,0.581,1.032,10.371,1.285,0.525045,0.419837,2.306,2.306,Terpinolene,True
15,10.329,10.264,10.409,100543,43553,2.309,22.678,,15,Linalool,0.833,473883,0.317,1.082,11.261,1.193,0.499743,0.495072,2.503,2.503,Linalool,True
16,11.325,11.281,11.44,87957,44293,1.986,21.578,V,16,(-)-Isopulegol,1.01,794781,0.189,1.128,18.021,1.212,0.437185,0.503488,2.381,2.381,(-)-Isopulegol,True
17,11.979,11.953,12.028,5095,2744,1.857,1.223,V,17,Geraniol,1.126,990228,0.151,0.0,13.245,1.115,0.0253236,0.0311911,0.135,0.135,Geraniol,True
18,12.197,12.168,12.289,5733,1925,2.979,1.376,V,17,Geraniol,1.165,340475,0.441,0.0,3.322,1.034,0.0284978,0.0218762,0.152,0.152,Geraniol,True
19,12.465,12.392,13.325,77927,46935,1.66,18.703,S,17,Geraniol,1.212,1308274,0.115,1.243,4.22,1.041,0.387328,0.533518,2.064,2.064,Geraniol,True
20,13.429,13.325,13.479,12093,5786,2.09,2.22,V,18,beta-Caryophyllene,1.383,1426235,0.105,0.0,21.831,1.141,0.0601058,0.0657696,0.245,0.245,β-Caryophyllene,True
