instrument_channel,internal_status,reportable_measurand,combination_group,metrc_percent_field,metrc_mg_g_field,coa_display,included_in_total_terpenes,loq_source,mu_source,notes
alpha-Pinene,direct_reportable_channel,Alpha-Pinene,,Alpha-Pinene (%) Additional (Raw Plant Material & Concentrate/Extract),Alpha-Pinene (mg/g) Additional (Infused Products),true,true,Terpenes|Alpha-Pinene|matrix_or_product_type|result_unit|LOQ,Terpenes|Alpha-Pinene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
Camphene,direct_reportable_channel,Camphene,,Camphene (%) Additional (Raw Plant Material & Concentrate/Extract),Camphene (mg/g) Additional (Infused Products),true,true,Terpenes|Camphene|matrix_or_product_type|result_unit|LOQ,Terpenes|Camphene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
beta-Myrcene,direct_reportable_channel,Beta-Myrcene,,Beta-Myrcene (%) Additional (Raw Plant Material & Concentrate/Extract),Beta-Myrcene (mg/g) Additional (Infused Products),true,true,Terpenes|Beta-Myrcene|matrix_or_product_type|result_unit|LOQ,Terpenes|Beta-Myrcene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result; do not use Alpha-Myrcene.
(-)-beta-Pinene,direct_reportable_channel,Beta-Pinene,,Beta-Pinene (%) Additional (Raw Plant Material & Concentrate/Extract),Beta-Pinene (mg/g) Additional (Infused Products),true,true,Terpenes|Beta-Pinene|matrix_or_product_type|result_unit|LOQ,Terpenes|Beta-Pinene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
delta-3-Carene,direct_reportable_channel,Delta-3 Carene,,Delta-3 Carene (%) Additional (Raw Plant Material & Concentrate/Extract),Delta-3 Carene (mg/g) Additional (Infused Products),true,true,Terpenes|Delta-3 Carene|matrix_or_product_type|result_unit|LOQ,Terpenes|Delta-3 Carene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
alpha-Terpinene,direct_reportable_channel,Alpha-Terpinene,,Alpha-Terpinene (%) Additional (Raw Plant Material & Concentrate/Extract),Alpha-Terpinene (mg/g) Additional (Infused Products),true,true,Terpenes|Alpha-Terpinene|matrix_or_product_type|result_unit|LOQ,Terpenes|Alpha-Terpinene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
Ocimene 1,combined_component_channel,Ocimene,Ocimene,Ocimene (%) Additional (Raw Plant Material & Concentrate/Extract),Ocimene (mg/g) Additional (Infused Products),combined_once,combined_once,Terpenes|Ocimene|matrix_or_product_type|result_unit|LOQ,Terpenes|Ocimene 1|matrix_or_product_type|result_unit|MU%,Internal component only; missing blank no-peak zero or negative becomes used 0; every positive value is retained without component LOQ; MU lookup is required only when used value is positive.
D-Limonene,direct_reportable_channel,Limonene,,Limonene (%) Additional (Raw Plant Material & Concentrate/Extract),Limonene (mg/g) Additional (Infused Products),true,true,Terpenes|Limonene|matrix_or_product_type|result_unit|LOQ,Terpenes|Limonene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
p-Cymene,direct_reportable_channel,P-Isopropyltoluene (P-Cymene),,P-Isopropyltoluene (P-Cymene) (%) Additional (Raw Plant Material & Concentrate/Extract),P-Isopropyltoluene (P-Cymene) (mg/g) Additional (Infused Products),true,true,Terpenes|P-Isopropyltoluene (P-Cymene)|matrix_or_product_type|result_unit|LOQ,Terpenes|P-Isopropyltoluene (P-Cymene)|matrix_or_product_type|result_unit|MU%,Use the P-Isopropyltoluene (P-Cymene) field; do not use generic Cymene.
Ocimene 2,combined_component_channel,Ocimene,Ocimene,Ocimene (%) Additional (Raw Plant Material & Concentrate/Extract),Ocimene (mg/g) Additional (Infused Products),combined_once,combined_once,Terpenes|Ocimene|matrix_or_product_type|result_unit|LOQ,Terpenes|Ocimene 2|matrix_or_product_type|result_unit|MU%,Internal component only; missing blank no-peak zero or negative becomes used 0; every positive value is retained without component LOQ; MU lookup is required only when used value is positive.
Eucalyptol,direct_reportable_channel,Eucalyptol,,Eucalyptol (%) Additional (Raw Plant Material & Concentrate/Extract),Eucalyptol (mg/g) Additional (Infused Products),true,true,Terpenes|Eucalyptol|matrix_or_product_type|result_unit|LOQ,Terpenes|Eucalyptol|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
Gamma terpinene,direct_reportable_channel,Gamma-Terpinene,,Gamma-Terpinene (%) Additional (Raw Plant Material & Concentrate/Extract),Gamma-Terpinene (mg/g) Additional (Infused Products),true,true,Terpenes|Gamma-Terpinene|matrix_or_product_type|result_unit|LOQ,Terpenes|Gamma-Terpinene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
Terpinolene,direct_reportable_channel,Terpinolene,,Terpinolene (%) Additional (Raw Plant Material & Concentrate/Extract),Terpinolene (mg/g) Additional (Infused Products),true,true,Terpenes|Terpinolene|matrix_or_product_type|result_unit|LOQ,Terpenes|Terpinolene|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result; do not use Terpineol.
Linalool,direct_reportable_channel,Linalool,,Linalool (%) Additional (Raw Plant Material & Concentrate/Extract),Linalool (mg/g) Additional (Infused Products),true,true,Terpenes|Linalool|matrix_or_product_type|result_unit|LOQ,Terpenes|Linalool|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
(-)-Isopulegol,direct_reportable_channel,Isopulegol,,Isopulegol (%) Additional (Raw Plant Material & Concentrate/Extract),Isopulegol (mg/g) Additional (Infused Products),true,true,Terpenes|Isopulegol|matrix_or_product_type|result_unit|LOQ,Terpenes|Isopulegol|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
Geraniol,direct_reportable_channel,Geraniol,,Geraniol (%) Additional (Raw Plant Material & Concentrate/Extract),Geraniol (mg/g) Additional (Infused Products),true,true,Terpenes|Geraniol|matrix_or_product_type|result_unit|LOQ,Terpenes|Geraniol|matrix_or_product_type|result_unit|MU%,Direct unrounded ug/g result.
