order,worksheet_label,labsolutions_compound_name,metrc_target_analyte_label,metrc_mapping_rule,metrc_units_found_in_template,metrc_template_locations,raw_plant_and_concentrate_export_unit,infused_product_export_unit,qbench_export_value_rule,metrc_notes
1,α-Pinene,alpha-Pinene,Alpha-Pinene,direct,%; mg/g,Additional-Terpenes (%)!C5 [%]; Additional-Terpenes (mg_g)!C5 [mg/g]; Full Panel (Conc.) Tribal Only!C112 [%]; Full Panel (FinPrd) Tribal Only!C113 [%]; Full Panel (Flower) Tribal Only!C112 [%]; R&D Terpenes!C5 [%]; Sub-Contract - Terpenes (ConEx)!C3 [%]; Sub-Contact - Terpenes(Infused)!C3 [mg/g]; Sub-Contract - Terpenes (RawPM)!C3 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,Greek alpha normalized to Alpha.
2,Camphene,Camphene,Camphene,direct,%; mg/g,Additional-Terpenes (%)!C11 [%]; Additional-Terpenes (mg_g)!C11 [mg/g]; Full Panel (Conc.) Tribal Only!C20 [%]; Full Panel (FinPrd) Tribal Only!C119 [%]; Full Panel (Flower) Tribal Only!C118 [%]; R&D Terpenes!C11 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
3,β-Myrcene,beta-Myrcene,Beta-Myrcene,direct,%; mg/g,Additional-Terpenes (%)!C9 [%]; Additional-Terpenes (mg_g)!C9 [mg/g]; Full Panel (Conc.) Tribal Only!C116 [%]; Full Panel (FinPrd) Tribal Only!C117 [%]; Full Panel (Flower) Tribal Only!C116 [%]; R&D Terpenes!C9 [%]; Sub-Contract - Terpenes (ConEx)!C6 [%]; Sub-Contact - Terpenes(Infused)!C6 [mg/g]; Sub-Contract - Terpenes (RawPM)!C6 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,Greek beta normalized to Beta.
4,(-)-β-pinene,(-)-beta-Pinene,Beta-Pinene,direct,%; mg/g,Additional-Terpenes (%)!C10 [%]; Additional-Terpenes (mg_g)!C10 [mg/g]; Full Panel (Conc.) Tribal Only!C117 [%]; Full Panel (FinPrd) Tribal Only!C118 [%]; Full Panel (Flower) Tribal Only!C117 [%]; R&D Terpenes!C10 [%]; Sub-Contract - Terpenes (ConEx)!C7 [%]; Sub-Contact - Terpenes(Infused)!C7 [mg/g]; Sub-Contract - Terpenes (RawPM)!C7 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC label omits (-)- stereochemical prefix.
5,Delta-3-carene,delta-3-Carene,Delta-3 Carene,direct,%; mg/g,Additional-Terpenes (%)!C15 [%]; Additional-Terpenes (mg_g)!C15 [mg/g]; Full Panel (Conc.) Tribal Only!C123 [%]; Full Panel (FinPrd) Tribal Only!C125 [%]; Full Panel (Flower) Tribal Only!C125 [%]; R&D Terpenes!C15 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC uses a space before Carene.
6,α-Terpinene,alpha-Terpinene,Alpha-Terpinene,direct,%; mg/g,Additional-Terpenes (%)!C6 [%]; Additional-Terpenes (mg_g)!C6 [mg/g]; Full Panel (Conc.) Tribal Only!C113 [%]; Full Panel (FinPrd) Tribal Only!C114 [%]; Full Panel (Flower) Tribal Only!C113 [%]; R&D Terpenes!C6 [%]; Sub-Contract - Terpenes (ConEx)!C4 [%]; Sub-Contact - Terpenes(Infused)!C4 [mg/g]; Sub-Contract - Terpenes (RawPM)!C4 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,
7,cis-Ocimene,Ocimene 1,Ocimene,rollup_component,%; mg/g,Additional-Terpenes (%)!C26 [%]; Additional-Terpenes (mg_g)!C26 [mg/g]; Full Panel (Conc.) Tribal Only!C136 [%]; Full Panel (FinPrd) Tribal Only!C139 [%]; Full Panel (Flower) Tribal Only!C139 [%]; R&D Terpenes!C26 [%],%,mg/g,METRC Ocimene = cis-Ocimene + trans-Ocimene; do not export isomer rows separately.,METRC template has no cis/trans Ocimene split. Sum cis-Ocimene + trans-Ocimene for the Ocimene export field.
8,d-Limonene,D-Limonene,Limonene,direct,%; mg/g,Additional-Terpenes (%)!C23 [%]; Additional-Terpenes (mg_g)!C23 [mg/g]; Full Panel (Conc.) Tribal Only!C133 [%]; Full Panel (FinPrd) Tribal Only!C136 [%]; Full Panel (Flower) Tribal Only!C136 [%]; R&D Terpenes!C23 [%]; Sub-Contract - Terpenes (ConEx)!C10 [%]; Sub-Contact - Terpenes(Infused)!C10 [mg/g]; Sub-Contract - Terpenes (RawPM)!C10 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,METRC label omits d- prefix.
9,p-Cymene,p-Cymene,P-Isopropyltoluene (P-Cymene),direct_preferred_over_generic,%; mg/g,Additional-Terpenes (%)!C28 [%]; Additional-Terpenes (mg_g)!C28 [mg/g]; Full Panel (Conc.) Tribal Only!C75 [%]; Full Panel (FinPrd) Tribal Only!C75 [%]; R&D Terpenes!C28 [%],%,mg/g,Export this analyte directly using the unit required by the selected METRC upload profile.,Use the explicit p-Cymene/P-Isopropyltoluene row; do not use generic Cymene unless method expands to generic cymene.
10,trans-Ocimene,Ocimene 2,Ocimene,rollup_component,%; mg/g,Additional-Terpenes (%)!C26 [%]; Additional-Terpenes (mg_g)!C26 [mg/g]; Full Panel (Conc.) Tribal Only!C136 [%]; Full Panel (FinPrd) Tribal Only!C139 [%]; Full Panel (Flower) Tribal Only!C139 [%]; R&D Terpenes!C26 [%],%,mg/g,METRC Ocimene = cis-Ocimene + trans-Ocimene; do not export isomer rows separately.,METRC template has no trans-Ocimene row. Sum cis-Ocimene + trans-Ocimene for the Ocimene export field.
