order,worksheet_label,sop_scope_label,restek_standard,rt_min,qbench_key,current_metrc_export,notes,labsolutions_compound_id,labsolutions_compound_name,labsolutions_rt_min_observed,labsolutions_conc_field,labsolutions_use_for_quant,labsolutions_alias_notes,metrc_target_analyte_label,metrc_mapping_rule,metrc_units_found_in_template,metrc_raw_concentrate_unit,metrc_infused_unit,metrc_template_notes
1,α-Pinene,α-Pinene,Standard #1,5.81,apinene,yes,,2,alpha-Pinene,5.809,Conc.,yes,,Alpha-Pinene,direct,%; mg/g,%,mg/g,Greek alpha normalized to Alpha.
2,Camphene,Camphene,Standard #1,6.22,camphene,yes,,3,Camphene,6.22,Conc.,yes,,Camphene,direct,%; mg/g,%,mg/g,
3,β-Myrcene,β-Myrcene,Standard #1,6.69,bmyrcene,yes,,4,beta-Myrcene,6.692,Conc.,yes,,Beta-Myrcene,direct,%; mg/g,%,mg/g,Greek beta normalized to Beta.
4,(-)-β-pinene,(-)-β-Pinene,Standard #1,6.80,bpinene,yes,,5,(-)-beta-Pinene,6.803,Conc.,yes,,Beta-Pinene,direct,%; mg/g,%,mg/g,METRC label omits (-)- stereochemical prefix.
5,Delta-3-carene,δ-3-Carene,Standard #1,7.38,delta3carene,yes,,6,delta-3-Carene,7.383,Conc.,yes,,Delta-3 Carene,direct,%; mg/g,%,mg/g,METRC uses a space before Carene.
6,α-Terpinene,α-Terpinene,Standard #1,7.61,aterpinene,yes,,7,alpha-Terpinene,7.62,Conc.,yes,,Alpha-Terpinene,direct,%; mg/g,%,mg/g,
7,cis-Ocimene,Ocimene,Standard #1,7.76,cisocimene,yes,Current QBench key appears to represent Ocimene in many mappings; decide whether to export cis only or cis+trans total.,8,Ocimene 1,7.763,Conc.,yes,LabSolutions names ocimene isomers as Ocimene 1/2; map 1 to cis and 2 to trans unless method owner confirms otherwise.,Ocimene,rollup_component,%; mg/g,%,mg/g,METRC template has no cis/trans Ocimene split. Sum cis-Ocimene + trans-Ocimene for the Ocimene export field.
8,d-Limonene,d-Limonene,Standard #1,7.90,dlimonene,yes,,9,D-Limonene,7.908,Conc.,yes,,Limonene,direct,%; mg/g,%,mg/g,METRC label omits d- prefix.
9,p-Cymene,p-Isopropyltoluene (p-Cymene),Standard #1,8.00,pcymene,yes,Use pcymene rather than generic cymene where result name says P-Isopropyltoluene/P-Cymene.,10,p-Cymene,8.001,Conc.,yes,,P-Isopropyltoluene (P-Cymene),direct_preferred_over_generic,%; mg/g,%,mg/g,Use the explicit p-Cymene/P-Isopropyltoluene row; do not use generic Cymene unless method expands to generic cymene.
10,trans-Ocimene,Ocimene,Standard #1,8.18,transocimene,no,No transocimene key found in current kvstore; recommend sum with cis-Ocimene for METRC unless schema is updated.,11,Ocimene 2,8.191,Conc.,yes,LabSolutions names ocimene isomers as Ocimene 1/2; map 1 to cis and 2 to trans unless method owner confirms otherwise.,Ocimene,rollup_component,%; mg/g,%,mg/g,METRC template has no trans-Ocimene row. Sum cis-Ocimene + trans-Ocimene for the Ocimene export field.
11,Eucalyptol,"1,8-Cineole (Eucalyptol)",Standard #2,8.29,eucalyptol,yes,,12,Eucalyptol,8.297,Conc.,yes,,Eucalyptol,direct,%; mg/g,%,mg/g,"SOP synonym 1,8-Cineole maps to Eucalyptol in METRC."
12,γ-Terpinene,γ-Terpinene,Standard #1,8.69,gterpinene,yes,,13,Gamma terpinene,8.697,Conc.,yes,,Gamma-Terpinene,direct,%; mg/g,%,mg/g,Greek gamma normalized to Gamma.
13,Terpinolene,Terpinolene,Standard #1,9.56,terpinolene,yes,,14,Terpinolene,9.569,Conc.,yes,,Terpinolene,direct,%; mg/g,%,mg/g,
14,Linalool,Linalool,Standard #1,10.32,linalool,yes,,15,Linalool,10.329,Conc.,yes,,Linalool,direct,%; mg/g,%,mg/g,
15,(-)-Isopulegol,(-)-Isopulegol,Standard #1,11.32,isopulegol,yes,,16,(-)-Isopulegol,11.325,Conc.,yes,,Isopulegol,direct,%; mg/g,%,mg/g,METRC label omits (-)- stereochemical prefix.
16,Geraniol,Geraniol,Standard #1,12.46,geraniol,yes,,17,Geraniol,12.465,Conc.,yes,,Geraniol,direct,%; mg/g,%,mg/g,
17,β-Caryophyllene,β-Caryophyllene,Standard #1,13.90,bcaryophyllene,yes,,18,beta-Caryophyllene,13.904,Conc.,yes,,Beta-Caryophyllene,direct,%; mg/g,%,mg/g,
18,α-Humulene,α-Humulene,Standard #1,14.15,ahumulene,yes,,19,alpha-Humulene,14.157,Conc.,yes,,Alpha-Humulene,direct,%; mg/g; ppm,%,mg/g,R&D Terpenes tab has Alpha-Humulene as ppm; all other terpene panels use % or mg/g. Treat as a template issue until confirmed.
19,cis-Nerolidol,Nerolidol,Standard #1,14.51,cisnerolidol,yes,SOP lists Nerolidol while worksheet splits cis/trans.,20,Nerolidol 1,14.519,Conc.,yes,LabSolutions names nerolidol isomers as Nerolidol 1/2; map 1 to cis and 2 to trans unless method owner confirms otherwise.,Cis-Nerolidol,direct,%; mg/g,%,mg/g,METRC has an explicit Cis-Nerolidol row.
20,trans-Nerolidol,Nerolidol,Standard #1,14.69,transnerolidol,yes,SOP lists Nerolidol while worksheet splits cis/trans.,21,Nerolidol 2,14.697,Conc.,yes,LabSolutions names nerolidol isomers as Nerolidol 1/2; map 1 to cis and 2 to trans unless method owner confirms otherwise.,Nerolidol,direct_assumed_trans,%; mg/g,%,mg/g,METRC template has generic Nerolidol but no Trans-Nerolidol. Map LabSolutions Nerolidol 2/trans-Nerolidol to generic Nerolidol unless method owner requires total Nerolidol.
21,(-)-Guaiol,(-)-Guaiol,Standard #1,15.18,guaiol,yes,,22,(-)-Guaiol,15.113,Conc.,yes,,Guaiol,direct,%; mg/g,%,mg/g,METRC label omits (-)- stereochemical prefix.
22,Caryophyllene Oxide,(-)-Caryophyllene oxide,Standard #2,15.21,caryophylleneoxide,yes,,23,Caryophyllene oxide,15.21,Conc.,yes,Case differs from worksheet label; normalize to Caryophyllene Oxide.,Caryophyllene Oxide,direct,%; mg/g,%,mg/g,
23,(-)-α-Bisabolol,(-)-α-Bisabolol,Standard #1,15.50,bisabolol,yes,,24,(-)-alpha-Bisabolol,15.692,Conc.,yes,,Alpha-Bisabolol,direct,%; mg/g,%,mg/g,METRC label omits (-)- and uses Alpha.
